movement_code,signal_node_code,signal_link,stageNo_in_Order,osm_node_id,node_id,groupNo,directionNo,ib_link_id,ob_link_id,ib_osm_node_id,ob_osm_node_id,lanes,mvmt_txt_id,volume,geometry
SBT|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↕|L0|T1|R0|,,1,325207488,3,2,4,1,192,249112798,4265654365,2,SBT,620.0,"LINESTRING (80.2183688 12.9874921, 80.2183372 12.9873507)"
NBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↕|L0|T1|R0|,,1,338406694,51,2,3,56,115,338406637,9370418225,2,NBT,620.0,"LINESTRING (80.2182401 12.9873781, 80.2182716 12.9875195)"
SBT|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↕|L0|T1|R0|,,1,338406779,107,2,4,209,116,2157511345,7111954111,2,SBT,620.0,"LINESTRING (80.2195259 12.9916855, 80.2195823 12.9916077)"
SBT|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↕|L0|T1|R1|,,1,7111954112,109,2,4,117,198,7111954111,9368672356,1,SBT,310.0,"LINESTRING (80.2196146 12.9915675, 80.2197052 12.9914533)"
SBR|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↕|L0|T1|R1|,,1,7111954112,109,2,4,117,199,7111954111,249112798,1,SBR,110.0,"LINESTRING (80.2196146 12.9915675, 80.2196023 12.9914684)"
NBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↕|L0|T1|R0|,,1,2142536482,110,2,3,118,119,9368672356,249112798,2,NBT,620.0,"LINESTRING (80.2196907 12.9913440, 80.2196000 12.9914580)"
NBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↕|L0|T1|R0|,,1,338406792,114,2,3,122,212,7111954110,338406760,2,NBT,620.0,"LINESTRING (80.2195282 12.9915454, 80.2194477 12.9916666)"
WBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L0|T1|R2|,,1,268789820,122,2,2,219,144,268789818,1971877227,2,WBT,620.0,"LINESTRING (80.2402798 13.0067277, 80.2401351 13.0067560)"
WBR|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L0|T1|R2|,,1,268789820,122,2,2,219,132,268789818,2212827520,1,WBR,110.0,"LINESTRING (80.2402798 13.0067277, 80.2402095 13.0068140)"
SBR|no_Treatment|NEMA_Phase_4|Ring_1|Barrier_2,T|↔|L0|T1|R2|,,2,268789820,122,2,4,200,144,2212827519,1971877227,1,SBR,110.0,"LINESTRING (80.2402486 13.0068017, 80.2401351 13.0067560)"
EBL|prot|NEMA_Phase_3|Ring_1|Barrier_2,T|↕|L2|T2|R3|,,2,319489540_1183430691_246866721,151,1,1,96,217,6450947190,310535870_30268467_310102882,1,EBL,105.0,"LINESTRING (80.2516486 12.9863420, 80.2517004 12.9864315)"
EBR|no_Treatment|NEMA_Phase_4|Ring_1|Barrier_2,T|↕|L2|T2|R3|,,3,319489540_1183430691_246866721,151,2,1,96,4,6450947190,6450947189,1,EBR,110.0,"LINESTRING (80.2516486 12.9863420, 80.2516808 12.9862642)"
NBL|perm|NEMA_Phase_5|Ring_2|Barrier_1,T|↕|L2|T2|R3|,,1,319489540_1183430691_246866721,151,1,3,76,4,246866725,6450947189,1,NBL,105.0,"LINESTRING (80.2517678 12.9862178, 80.2516808 12.9862642)"
NBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↕|L2|T2|R3|,,1,319489540_1183430691_246866721,151,2,3,76,217,246866725,310535870_30268467_310102882,1,NBT,310.0,"LINESTRING (80.2517678 12.9862178, 80.2517004 12.9864315)"
NBR|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↕|L2|T2|R3|,,1,319489540_1183430691_246866721,151,2,3,76,210,246866725,319489535,1,NBR,110.0,"LINESTRING (80.2517678 12.9862178, 80.2518161 12.9863828)"
SBT|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↕|L2|T2|R3|,,1,319489540_1183430691_246866721,151,2,4,215,210,1676204874,319489535,1,SBT,310.0,"LINESTRING (80.2517818 12.9865235, 80.2518161 12.9863828)"
SBR|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↕|L2|T2|R3|,,1,319489540_1183430691_246866721,151,2,4,215,217,1676204874,310535870_30268467_310102882,1,SBR,110.0,"LINESTRING (80.2517818 12.9865235, 80.2517004 12.9864315)"
EBT|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↔|L2|T2|R3|,,1,243051703_312031412,152,2,1,87,88,249493615,249493599,1,EBT,310.0,"LINESTRING (80.2515624 13.0068108, 80.2517065 13.0067800)"
EBR|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↔|L2|T2|R3|,,1,243051703_312031412,152,2,1,87,42,249493615,1183401915,1,EBR,110.0,"LINESTRING (80.2515624 13.0068108, 80.2516175 13.0066742)"
WBL|perm|NEMA_Phase_5|Ring_2|Barrier_1,T|↔|L2|T2|R3|,,1,243051703_312031412,152,1,2,41,14,249497656,257432748,1,WBL,105.0,"LINESTRING (80.2517606 13.0066391, 80.2516886 13.0065868)"
WBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L2|T2|R3|,,1,243051703_312031412,152,2,2,41,42,249497656,1183401915,1,WBT,310.0,"LINESTRING (80.2517606 13.0066391, 80.2516175 13.0066742)"
WBR|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L2|T2|R3|,,1,243051703_312031412,152,2,2,41,88,249497656,249493599,1,WBR,110.0,"LINESTRING (80.2517606 13.0066391, 80.2517065 13.0067800)"
NBL|prot|NEMA_Phase_7|Ring_2|Barrier_2,T|↔|L2|T2|R3|,,2,243051703_312031412,152,1,3,15,42,257432748,1183401915,1,NBL,105.0,"LINESTRING (80.2516886 13.0065868, 80.2516175 13.0066742)"
NBR|no_Treatment|NEMA_Phase_8|Ring_2|Barrier_2,T|↔|L2|T2|R3|,,3,243051703_312031412,152,2,3,15,88,257432748,249493599,1,NBR,110.0,"LINESTRING (80.2516886 13.0065868, 80.2517065 13.0067800)"
EBT|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↔|L2|T2|R3|,,1,1454664555_4113412285_338470503_1454664553,153,2,1,59,105,338466259,338470506,1,EBT,310.0,"LINESTRING (80.2430801 12.9813695, 80.2433390 12.9813686)"
EBR|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↔|L2|T2|R3|,,1,1454664555_4113412285_338470503_1454664553,153,2,1,59,103,338466259,1454664548,1,EBR,110.0,"LINESTRING (80.2430801 12.9813695, 80.2432704 12.9812079)"
WBL|perm|NEMA_Phase_5|Ring_2|Barrier_1,T|↔|L2|T2|R3|,,1,1454664555_4113412285_338470503_1454664553,153,1,2,62,103,246866969,1454664548,1,WBL,105.0,"LINESTRING (80.2433411 12.9812797, 80.2432704 12.9812079)"
WBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L2|T2|R3|,,1,1454664555_4113412285_338470503_1454664553,153,2,2,62,104,246866969,251296646,1,WBT,310.0,"LINESTRING (80.2433411 12.9812797, 80.2430877 12.9812815)"
WBR|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L2|T2|R3|,,1,1454664555_4113412285_338470503_1454664553,153,2,2,62,105,246866969,338470506,1,WBR,110.0,"LINESTRING (80.2433411 12.9812797, 80.2433390 12.9813686)"
NBL|prot|NEMA_Phase_7|Ring_2|Barrier_2,T|↔|L2|T2|R3|,,2,1454664555_4113412285_338470503_1454664553,153,1,3,20,104,1454664551,251296646,1,NBL,105.0,"LINESTRING (80.2431658 12.9812049, 80.2430877 12.9812815)"
NBR|no_Treatment|NEMA_Phase_8|Ring_2|Barrier_2,T|↔|L2|T2|R3|,,3,1454664555_4113412285_338470503_1454664553,153,2,3,20,103,1454664551,1454664548,1,NBR,110.0,"LINESTRING (80.2431658 12.9812049, 80.2432704 12.9812079)"
EBT|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↔|L1|T2|R2|,,1,310102870_312031374,154,2,1,205,139,243051152,1183401857,1,EBT,310.0,"LINESTRING (80.2473906 13.0067701, 80.2475380 13.0067705)"
EBR|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↔|L1|T2|R2|,,1,310102870_312031374,154,2,1,205,92,243051152,6816790397,1,EBR,110.0,"LINESTRING (80.2473906 13.0067701, 80.2473796 13.0066475)"
WBL|perm|NEMA_Phase_5|Ring_2|Barrier_1,T|↔|L1|T2|R2|,,1,310102870_312031374,154,1,2,91,46,6816790401,6816790398,1,WBL,105.0,"LINESTRING (80.2475270 13.0066519, 80.2474531 13.0065754)"
WBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L1|T2|R2|,,1,310102870_312031374,154,2,2,91,92,6816790401,6816790397,1,WBT,310.0,"LINESTRING (80.2475270 13.0066519, 80.2473796 13.0066475)"
WBR|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L1|T2|R2|,,1,310102870_312031374,154,2,2,91,139,6816790401,1183401857,1,WBR,110.0,"LINESTRING (80.2475270 13.0066519, 80.2475380 13.0067705)"
WBL|prot|NEMA_Phase_7|Ring_2|Barrier_2,T|↕|L2|T2|R3|,,2,310535870_30268467_310102882,155,1,2,84,138,1676204892,1676204874,1,WBL,105.0,"LINESTRING (80.2515119 12.9878324, 80.2514590 12.9877604)"
WBR|no_Treatment|NEMA_Phase_8|Ring_2|Barrier_2,T|↕|L2|T2|R3|,,3,310535870_30268467_310102882,155,2,2,84,134,1676204892,5562486549,1,WBR,110.0,"LINESTRING (80.2515119 12.9878324, 80.2513067 12.9879115)"
NBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↕|L2|T2|R3|,,1,310535870_30268467_310102882,155,2,3,217,134,319489540_1183430691_246866721,5562486549,1,NBT,310.0,"LINESTRING (80.2513423 12.9877711, 80.2513067 12.9879115)"
NBR|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↕|L2|T2|R3|,,1,310535870_30268467_310102882,155,2,3,217,138,319489540_1183430691_246866721,1676204874,1,NBR,110.0,"LINESTRING (80.2513423 12.9877711, 80.2514590 12.9877604)"
SBL|perm|NEMA_Phase_1|Ring_1|Barrier_1,T|↕|L2|T2|R3|,,1,310535870_30268467_310102882,155,1,4,48,140,5562486548,1183401849,1,SBL,105.0,"LINESTRING (80.2514010 12.9879891, 80.2514915 12.9879301)"
SBT|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↕|L2|T2|R3|,,1,310535870_30268467_310102882,155,2,4,48,138,5562486548,1676204874,1,SBT,310.0,"LINESTRING (80.2514010 12.9879891, 80.2514590 12.9877604)"
SBR|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↕|L2|T2|R3|,,1,310535870_30268467_310102882,155,2,4,48,134,5562486548,5562486549,1,SBR,110.0,"LINESTRING (80.2514010 12.9879891, 80.2513067 12.9879115)"
