mvmt_id,timing_phase_id,timing_plan_id,green_time_window,signal_phase_num,min_green,max_green,start_green_time,end_green_time,extension,clearance,walk_time,cycle_length,ped_clearance,mvmt_txt_id,ring,barrier,stage_no,position,capacity,v_over_c,osm_web_address,geometry
8,1,0,000000_000130,2,90,90,0,90,,,0,90,,SBT,1,1,1,,3884.4444444444443,0.15961098398169338,http://openstreetmap.org/node/325207488,"LINESTRING (80.2183688 12.9874921, 80.2183372 12.9873507)"
119,1,0,000000_000130,6,90,90,0,90,,,0,90,,NBT,2,1,1,,3884.4444444444443,0.15961098398169338,http://openstreetmap.org/node/338406694,"LINESTRING (80.2182401 12.9873781, 80.2182716 12.9875195)"
197,1,0,000000_000130,2,90,90,0,90,,,0,90,,SBT,1,1,1,,3884.4444444444443,0.15961098398169338,http://openstreetmap.org/node/338406779,"LINESTRING (80.2195259 12.9916855, 80.2195823 12.9916077)"
200,1,0,000000_000130,2,90,90,0,90,,,0,90,,SBT,1,1,1,,1942.2222222222222,0.15961098398169338,http://openstreetmap.org/node/7111954112,"LINESTRING (80.2196146 12.9915675, 80.2197052 12.9914533)"
201,1,0,000000_000130,2,90,90,0,90,,,0,90,,SBR,1,1,1,,1942.2222222222222,0.05663615560640732,http://openstreetmap.org/node/7111954112,"LINESTRING (80.2196146 12.9915675, 80.2196023 12.9914684)"
202,1,0,000000_000130,6,90,90,0,90,,,0,90,,NBT,2,1,1,,3884.4444444444443,0.15961098398169338,http://openstreetmap.org/node/2142536482,"LINESTRING (80.2196907 12.9913440, 80.2196000 12.9914580)"
208,1,0,000000_000130,6,90,90,0,90,,,0,90,,NBT,2,1,1,,3884.4444444444443,0.15961098398169338,http://openstreetmap.org/node/338406792,"LINESTRING (80.2195282 12.9915454, 80.2194477 12.9916666)"
220,1,0,000000_000111,6,71,71,0,71,,,19,90,,WBT,2,1,1,,3095.7651991614252,0.2002735866944768,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402798 13.0067277, 80.2401351 13.0067560)"
219,1,0,000000_000111,6,71,71,0,71,,,19,90,,WBR,2,1,1,,1547.8825995807126,0.07106482108513694,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402798 13.0067277, 80.2402095 13.0068140)"
218,2,0,000111_000130,4,19,19,71,90,,,0,90,,SBR,1,2,2,,436.56184486373155,0.25196888205916257,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402486 13.0068017, 80.2401351 13.0067560)"
257,2,0,000059_000114,3,15,15,59,74,,,16,90,,EBL,1,2,2,,356.3954505686789,0.2946165553809898,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2516486 12.9863420, 80.2517004 12.9864315)"
256,3,0,000114_000129,4,15,15,74,89,,,1,90,,EBR,1,2,3,,371.35608048993873,0.2962116571643971,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2516486 12.9863420, 80.2516808 12.9862642)"
253,1,0,000000_000059,5,59,59,0,59,,,31,90,,NBL,2,1,1,,742.6928174551916,0.1413774275612069,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517678 12.9862178, 80.2516808 12.9862642)"
254,1,0,000000_000059,6,59,59,0,59,,,31,90,,NBT,2,1,1,,1298.915135608049,0.23866070346072502,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517678 12.9862178, 80.2517004 12.9864315)"
252,1,0,000000_000059,6,59,59,0,59,,,31,90,,NBR,2,1,1,,1298.915135608049,0.08468605606670887,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517678 12.9862178, 80.2518161 12.9863828)"
249,1,0,000000_000059,2,59,59,0,59,,,31,90,,SBT,1,1,1,,1298.915135608049,0.23866070346072502,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517818 12.9865235, 80.2518161 12.9863828)"
251,1,0,000000_000059,2,59,59,0,59,,,31,90,,SBR,1,1,1,,1298.915135608049,0.08468605606670887,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517818 12.9865235, 80.2517004 12.9864315)"
258,1,0,000000_000059,2,59,59,0,59,,,31,90,,EBT,1,1,1,,1298.915135608049,0.23866070346072502,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2515624 13.0068108, 80.2517065 13.0067800)"
260,1,0,000000_000059,2,59,59,0,59,,,31,90,,EBR,1,1,1,,1298.915135608049,0.08468605606670887,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2515624 13.0068108, 80.2516175 13.0066742)"
264,1,0,000000_000059,5,59,59,0,59,,,31,90,,WBL,2,1,1,,742.6928174551916,0.1413774275612069,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2517606 13.0066391, 80.2516886 13.0065868)"
265,1,0,000000_000059,6,59,59,0,59,,,31,90,,WBT,2,1,1,,1298.915135608049,0.23866070346072502,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2517606 13.0066391, 80.2516175 13.0066742)"
263,1,0,000000_000059,6,59,59,0,59,,,31,90,,WBR,2,1,1,,1298.915135608049,0.08468605606670887,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2517606 13.0066391, 80.2517065 13.0067800)"
262,2,0,000059_000114,7,15,15,59,74,,,16,90,,NBL,2,2,2,,356.3954505686789,0.2946165553809898,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2516886 13.0065868, 80.2516175 13.0066742)"
261,3,0,000114_000129,8,15,15,74,89,,,1,90,,NBR,2,2,3,,371.35608048993873,0.2962116571643971,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2516886 13.0065868, 80.2517065 13.0067800)"
270,1,0,000000_000059,2,59,59,0,59,,,31,90,,EBT,1,1,1,,1298.915135608049,0.23866070346072502,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2430801 12.9813695, 80.2433390 12.9813686)"
271,1,0,000000_000059,2,59,59,0,59,,,31,90,,EBR,1,1,1,,1298.915135608049,0.08468605606670887,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2430801 12.9813695, 80.2432704 12.9812079)"
274,1,0,000000_000059,5,59,59,0,59,,,31,90,,WBL,2,1,1,,742.6928174551916,0.1413774275612069,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2433411 12.9812797, 80.2432704 12.9812079)"
272,1,0,000000_000059,6,59,59,0,59,,,31,90,,WBT,2,1,1,,1298.915135608049,0.23866070346072502,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2433411 12.9812797, 80.2430877 12.9812815)"
273,1,0,000000_000059,6,59,59,0,59,,,31,90,,WBR,2,1,1,,1298.915135608049,0.08468605606670887,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2433411 12.9812797, 80.2433390 12.9813686)"
266,2,0,000059_000114,7,15,15,59,74,,,16,90,,NBL,2,2,2,,356.3954505686789,0.2946165553809898,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2431658 12.9812049, 80.2430877 12.9812815)"
268,3,0,000114_000129,8,15,15,74,89,,,1,90,,NBR,2,2,3,,371.35608048993873,0.2962116571643971,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2431658 12.9812049, 80.2432704 12.9812079)"
275,1,0,000000_000130,2,90,90,0,90,,,0,90,,EBT,1,1,1,,1942.2222222222222,0.15961098398169338,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2473906 13.0067701, 80.2475380 13.0067705)"
277,1,0,000000_000130,2,90,90,0,90,,,0,90,,EBR,1,1,1,,1942.2222222222222,0.05663615560640732,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2473906 13.0067701, 80.2473796 13.0066475)"
279,1,0,000000_000130,5,90,90,0,90,,,0,90,,WBL,2,1,1,,1110.5225082091706,0.09455008721013955,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2475270 13.0066519, 80.2474531 13.0065754)"
280,1,0,000000_000130,6,90,90,0,90,,,0,90,,WBT,2,1,1,,1942.2222222222222,0.15961098398169338,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2475270 13.0066519, 80.2473796 13.0066475)"
278,1,0,000000_000130,6,90,90,0,90,,,0,90,,WBR,2,1,1,,1942.2222222222222,0.05663615560640732,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2475270 13.0066519, 80.2475380 13.0067705)"
289,2,0,000059_000114,7,15,15,59,74,,,16,90,,WBL,2,2,2,,356.3954505686789,0.2946165553809898,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2515119 12.9878324, 80.2514590 12.9877604)"
288,3,0,000114_000129,8,15,15,74,89,,,1,90,,WBR,2,2,3,,371.35608048993873,0.2962116571643971,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2515119 12.9878324, 80.2513067 12.9879115)"
285,1,0,000000_000059,6,59,59,0,59,,,31,90,,NBT,2,1,1,,1298.915135608049,0.23866070346072502,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2513423 12.9877711, 80.2513067 12.9879115)"
286,1,0,000000_000059,6,59,59,0,59,,,31,90,,NBR,2,1,1,,1298.915135608049,0.08468605606670887,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2513423 12.9877711, 80.2514590 12.9877604)"
281,1,0,000000_000059,1,59,59,0,59,,,31,90,,SBL,1,1,1,,742.6928174551916,0.1413774275612069,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2514010 12.9879891, 80.2514915 12.9879301)"
283,1,0,000000_000059,2,59,59,0,59,,,31,90,,SBT,1,1,1,,1298.915135608049,0.23866070346072502,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2514010 12.9879891, 80.2514590 12.9877604)"
282,1,0,000000_000059,2,59,59,0,59,,,31,90,,SBR,1,1,1,,1298.915135608049,0.08468605606670887,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2514010 12.9879891, 80.2513067 12.9879115)"
