first_column,zone_id,access_node_vector,cell_code,cell_id,access_distance,x_coord,y_coord,geometry,production,attraction,
,2,0;,E2,0,45.281048,-79.940810,40.444621,"LINESTRING (-79.942000 40.446000,-79.940000 40.446000,-79.940000 40.444000,-79.942000 40.444000,-79.942000 40.446000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
,3,10;120;320;400;,F3,10,157.626083,-79.938911,40.443457,"LINESTRING (-79.940000 40.444000,-79.938000 40.444000,-79.938000 40.442000,-79.940000 40.442000,-79.940000 40.444000,)",344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,
,4,20;210;460;470;,B2,20,105.049850,-79.946910,40.445486,"LINESTRING (-79.948000 40.446000,-79.946000 40.446000,-79.946000 40.444000,-79.948000 40.444000,-79.948000 40.446000,)",344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,
,5,30;,G2,30,33.775215,-79.937393,40.444950,"LINESTRING (-79.938000 40.446000,-79.936000 40.446000,-79.936000 40.444000,-79.938000 40.444000,-79.938000 40.446000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
,6,40;430;570;,A2,40,52.771961,-79.949183,40.445119,"LINESTRING (-79.950000 40.446000,-79.948000 40.446000,-79.948000 40.444000,-79.950000 40.444000,-79.950000 40.446000,)",258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,
,7,50;190;300;490;510;,D2,50,163.977509,-79.943109,40.445453,"LINESTRING (-79.944000 40.446000,-79.942000 40.446000,-79.942000 40.444000,-79.944000 40.444000,-79.944000 40.446000,)",431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,
,8,60;110;220;,D4,60,159.776169,-79.943450,40.440561,"LINESTRING (-79.944000 40.442000,-79.942000 40.442000,-79.942000 40.440000,-79.944000 40.440000,-79.944000 40.442000,)",258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,
,9,70;80;260;350;410;,D3,70,101.214615,-79.943240,40.443014,"LINESTRING (-79.944000 40.444000,-79.942000 40.444000,-79.942000 40.442000,-79.944000 40.442000,-79.944000 40.444000,)",431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,431.03,
,10,90;180;240;280;290;370;,C3,90,154.487305,-79.944749,40.442526,"LINESTRING (-79.946000 40.444000,-79.944000 40.444000,-79.944000 40.442000,-79.946000 40.442000,-79.946000 40.444000,)",517.24,517.24,517.24,517.24,517.24,517.24,517.24,517.24,517.24,517.24,517.24,517.24,517.24,517.24,
,11,100;250;,C4,100,88.882820,-79.945286,40.441378,"LINESTRING (-79.946000 40.442000,-79.944000 40.442000,-79.944000 40.440000,-79.946000 40.440000,-79.946000 40.442000,)",172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,
,12,130;,B3,130,48.862499,-79.946595,40.443314,"LINESTRING (-79.948000 40.444000,-79.946000 40.444000,-79.946000 40.442000,-79.948000 40.442000,-79.948000 40.444000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
,13,140;230;450;,C2,140,122.588120,-79.944539,40.444538,"LINESTRING (-79.946000 40.446000,-79.944000 40.446000,-79.944000 40.444000,-79.946000 40.444000,-79.946000 40.446000,)",258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,258.62,
,14,150;160;270;500;,E3,150,74.678276,-79.941138,40.442817,"LINESTRING (-79.942000 40.444000,-79.940000 40.444000,-79.940000 40.442000,-79.942000 40.442000,-79.942000 40.444000,)",344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,344.83,
,15,170;380;,B4,170,87.081306,-79.947432,40.440992,"LINESTRING (-79.948000 40.442000,-79.946000 40.442000,-79.946000 40.440000,-79.948000 40.440000,-79.948000 40.442000,)",172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,
,16,200;560;,G4,200,92.760933,-79.936811,40.440980,"LINESTRING (-79.938000 40.442000,-79.936000 40.442000,-79.936000 40.440000,-79.938000 40.440000,-79.938000 40.442000,)",172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,
,17,310;,E4,310,44.910851,-79.940735,40.441352,"LINESTRING (-79.942000 40.442000,-79.940000 40.442000,-79.940000 40.440000,-79.942000 40.440000,-79.942000 40.442000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
,18,330;,A5,330,53.169659,-79.948636,40.439390,"LINESTRING (-79.950000 40.440000,-79.948000 40.440000,-79.948000 40.438000,-79.950000 40.438000,-79.950000 40.440000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
,19,340;,F1,340,21.571281,-79.939009,40.446807,"LINESTRING (-79.940000 40.448000,-79.938000 40.448000,-79.938000 40.446000,-79.940000 40.446000,-79.940000 40.448000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
,20,360;520;,A4,360,102.521774,-79.949099,40.441304,"LINESTRING (-79.950000 40.442000,-79.948000 40.442000,-79.948000 40.440000,-79.950000 40.440000,-79.950000 40.442000,)",172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,
,21,390;420;,A3,390,108.946129,-79.949124,40.443043,"LINESTRING (-79.950000 40.444000,-79.948000 40.444000,-79.948000 40.442000,-79.950000 40.442000,-79.950000 40.444000,)",172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,172.41,
,22,440;,B1,440,44.970230,-79.947388,40.446724,"LINESTRING (-79.948000 40.448000,-79.946000 40.448000,-79.946000 40.446000,-79.948000 40.446000,-79.948000 40.448000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
,23,480;,D1,480,64.850281,-79.943439,40.446525,"LINESTRING (-79.944000 40.448000,-79.942000 40.448000,-79.942000 40.446000,-79.944000 40.446000,-79.944000 40.448000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
,24,530;,G5,530,53.462208,-79.936650,40.439397,"LINESTRING (-79.938000 40.440000,-79.936000 40.440000,-79.936000 40.438000,-79.938000 40.438000,-79.938000 40.440000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
,25,540;,C5,540,50.291679,-79.944621,40.439350,"LINESTRING (-79.946000 40.440000,-79.944000 40.440000,-79.944000 40.438000,-79.946000 40.438000,-79.946000 40.440000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
,26,550;,D5,550,38.921833,-79.943012,40.439350,"LINESTRING (-79.944000 40.440000,-79.942000 40.440000,-79.942000 40.438000,-79.944000 40.438000,-79.944000 40.440000,)",86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,
